country_name,item_name,day1,dpr1,day2,dpr2,value,unit
서울,고추장/해찬들 우리쌀로만든 태양초고추장 1kg,당일,"16,200",1일전,"16,200",0.0,1개
서울,김치/대상 종가집 포기김치 3.3kg,당일,"28,800",1일전,"28,800",0.0,1개
서울,두부/풀무원 국산콩 300g×2,당일,"5,442",1일전,"5,433",0.2,1개
서울,즉석밥/CJ 햇반 백미밥 210g×8개,당일,"9,936",1일전,"9,936",0.0,1묶음
서울,쌀/일반계,당일,"50,000",1일전,"50,000",0.0,20kg
서울,찹쌀/일반계,당일,"107,000",1일전,"107,000",0.0,40kg
서울,콩/흰 콩(국산),당일,"201,000",1일전,"201,000",0.0,35kg
서울,팥/붉은 팥(국산),당일,"360,000",1일전,"360,000",0.0,40kg
서울,녹두/국산,당일,"713,000",1일전,"713,000",0.0,40kg
서울,고구마/밤,당일,"32,000",1일전,"31,300",2.2,10kg
서울,감자/수미,당일,"52,300",1일전,"43,000",21.6,20kg
서울,배추/월동,당일,"10,400",1일전,"11,600",10.3,10kg
서울,양배추/양배추,당일,"10,000",1일전,"9,000",11.1,8kg
서울,시금치/시금치,당일,"12,500",1일전,"14,500",13.8,4kg
서울,상추/적,당일,"17,000",1일전,"17,700",4.0,4kg
서울,상추/청,당일,"19,200",1일전,"21,200",9.4,4kg
서울,얼갈이배추/얼갈이배추,당일,"8,250",1일전,"8,250",0.0,4kg
서울,수박/수박,당일,"19,200",1일전,"19,200",0.0,1개
서울,참외/참외,당일,"77,000",1일전,"75,200",2.4,10kg
서울,오이/다다기계통,당일,"77,200",1일전,"72,500",6.5,100개
서울,오이/취청,당일,"57,700",1일전,"57,000",1.2,50개
서울,호박/애호박,당일,"25,000",1일전,"27,000",7.4,20개
서울,호박/쥬키니,당일,"26,000",1일전,"29,200",11.0,10kg
서울,토마토/토마토,당일,"39,800",1일전,"39,800",0.0,10kg
서울,딸기/딸기,당일,"17,200",1일전,"17,200",0.0,2kg
서울,무/월동,당일,"11,000",1일전,"11,000",0.0,20kg
서울,당근/무세척,당일,"32,000",1일전,"31,600",1.3,20kg
서울,열무/열무,당일,"17,000",1일전,"17,200",1.2,4kg
서울,건고추/화건,당일,"600,000",1일전,"600,000",0.0,30kg
서울,건고추/양건,당일,"750,000",1일전,"750,000",0.0,30kg
서울,풋고추/풋고추,당일,"83,500",1일전,"79,500",5.0,10kg
서울,풋고추/꽈리고추,당일,"36,500",1일전,"34,000",7.4,4kg
서울,풋고추/청양고추,당일,"37,700",1일전,"39,000",3.3,10kg
서울,붉은고추/붉은고추,당일,"155,000",1일전,"159,000",2.5,10kg
서울,피마늘/한지,당일,"90,000",1일전,"90,000",0.0,10kg
서울,피마늘/난지(대서),당일,"60,000",1일전,"60,000",0.0,10kg
서울,깐마늘(국산)/깐마늘(대서),당일,"170,000",1일전,"170,000",0.0,20kg
서울,깐마늘(국산)/깐마늘(남도),당일,"175,000",1일전,"175,000",0.0,20kg
서울,양파/양파,당일,"13,300",1일전,"11,500",15.7,20kg
서울,파/대파,당일,"1,600",1일전,"1,620",1.2,1kg
서울,파/쪽파,당일,"3,000",1일전,"3,000",0.0,1kg
서울,생강/국산,당일,"65,000",1일전,"65,000",0.0,20kg
서울,미나리/미나리,당일,"86,600",1일전,"96,600",10.4,15kg
서울,깻잎/깻잎,당일,"28,500",1일전,"33,500",14.9,2kg
서울,피망/청,당일,"54,000",1일전,"54,000",0.0,10kg
서울,파프리카/파프리카,당일,"29,700",1일전,"27,500",8.0,5kg
서울,멜론/멜론,당일,"33,000",1일전,"33,000",0.0,8kg
서울,방울토마토/방울토마토,당일,"25,600",1일전,"25,600",0.0,5kg
서울,방울토마토/대추방울토마토,당일,"7,000",1일전,"6,900",1.5,1kg
서울,참깨/백색(국산),당일,"830,000",1일전,"830,000",0.0,30kg
서울,들깨/국산,당일,"652,000",1일전,"652,000",0.0,45kg
